text,sentiment_real,sentiment_previsto
"@united 2100$ ticket,12h biz trvl,no wifi.missed con flt,next one#24h,missed meeting,7$ food voucher,hotel chkout#12,flt#5,no wifi#hotel",negative,negative
@americanair hour baggage carousel still luggage?? nail coffin.,negative,negative
"@americanair ""airport snow removal method #22..."" keep good work folks, cessna's become 747's! http://t.co/oumc1lrxdn",positive,positive
@southwestair would brighter stars combined red carpet tonight!,positive,neutral
@usairways i've called resolve dividend miles issue week avail. please advise asap.,negative,negative
@jetblue standing cell announcements info #thismosaicnothappy,negative,negative
"@usairways employee responsible social media content, yes u probably care however actions last night say otherwise",negative,negative
@usairways :),positive,negative
@americanair gold status too.,neutral,negative
"@americanair trying call day, get hung every time. guys horrible!",negative,negative
@southwestair go again. delayed chicago offer 630 flight never intend fly,negative,negative
@southwestair 4467 152 2/25 503 25 2/26th.,neutral,negative
@united haha clean plane held overnight hangar. sounds lovely. also lie screensand say weather,negative,negative
@southwestair trying find airfare family. prices ridiculous! almost $1000 @usairways. #notmadeofmoney,negative,negative
@americanair could let know i'm staying tonight (if booked anything) would great. go,neutral,negative
"@jetblue @shannonwoodward i'll checking often. probably hand oscars nerds, geeks badly dressed.",neutral,positive
"@united illegal breach contract. touch ""customer feedback""",negative,negative
@united wife two new destinations i'm stuck dc monday bags,negative,negative
"@usairways @msscottwg ""that's unusual"" means screwed never admit it! #goingforgreatnessfail",negative,negative
@southwestair let leave newark!?,negative,negative
"@americanair yes, able get push notification via app i’m logged trip. email/text 2010 😥.",negative,negative
@united sat airport 5 hrs still sitting gate.. sigh,negative,negative
@southwestair terry hero! got husband back thru security retrieve cellphone left plane austin. terry #85832 u rock!,positive,positive
.@americanair flight 654 delayed / flight 409 sold seat / flight 0671 strand phx three hours. thanks memories 😡😤😖😲😩,negative,negative
@virginamerica jump dallas-austin market - @dallas_news http://t.co/ewwgi97gdx,neutral,neutral
"@usairways fly quite bit, difficult communicate. agents let people know what's happening, arrangements made",negative,negative
@americanair message delayed responded,neutral,negative
"@americanair that's complete cop out! u ask issues are, nothing it. supposed sort situation now?",negative,negative
@southwestair experience worse flying experience i've ever had. met w/ contempt customer service makes worse,negative,negative
"@jetblue 162, smf jfk!",positive,negative
@jetblue word thanks,positive,positive
"“@united: @rikrik__ made come this? help anything? ^jp” free tickets , convince .",neutral,negative
@united guys horrible! first get stuck snow hr ewr sitting cmh saying could 30min gate,negative,negative
"@united - vacation days: relevant, ritz pr night: $700, losing day idiots sleeping newark ramada; #priceless",negative,negative
@southwestair baggage delivery bwi delayed unnecessarily chaotic. disappointing long trip! frequent traveler,negative,negative
@jetblue u suck big donkey balls!,negative,negative
"@jetblue flew san francisco fort lauderdale last year, fantastic time would like go back !",positive,positive
@united please take membership away :(,negative,negative
@southwestair plans implement call-back system reflight booking problems line? hold hour now...,negative,negative
@usairways plans support #applepay board? usairways mc would nice still use forget card.,neutral,negative
@united bereavement discount airfare grandfather passed need attend funeral week.,neutral,neutral
@united trying check tomorrow's flight. website keeps timing out. what's up?,negative,negative
@usairways pretty sure actually take 7:10 http://t.co/vuxf4r4unu,negative,negative
@jetblue try harder. take winners attitude work.,neutral,negative
@united 2nd time row i've charged 100's $$ plane ticket why? #united check cc everytime,negative,negative
includes @kciairport “@southwestair: inclement weather may impact scheduled service in. reflight booking problems options available: http://t.co/keyrpflhil”,negative,neutral
@americanair thanks,positive,negative
"@usairways @claudoakeshott need link, getting person u say u know bags are. lost nonstop phx jfk.",negative,negative
@usairways embarrassing.,negative,negative
@united miss #oscars i'll never fly united,negative,negative
@americanair would like reimbursed shuttle denver #1080 diversion 6+ hours sitting plane mech problems,negative,negative
@americanair thanks response.tough night involved. flight got cancelled flightled started taxiing runway.,negative,negative
@united. what's going ua 236? outbound flight last thurs delayed 4hrs long delay be? #worst2unitedflightsever,negative,negative
@united would like know what's going current flight lands.,neutral,negative
@southwestair current promotions/codes nashville-denver? thank you!,neutral,positive
@americanair flights dallas tuesday going cancelled flightled correct?,neutral,negative
@southwestair sweet promo code help visit family!!!.... please!!!... lol,neutral,neutral
"@americanair oh will, aa speed dial",neutral,negative
@americanair service horrible. can't get straight answer ground agents.,negative,negative
@southwestair best credit card use/open get miles y'all?,neutral,negative
@americanair course that's companies job! guys failed first place. upgrade we'll talk.,neutral,negative
@virginamerica anyone anything today? website useless one answering phone.,negative,negative
"insulting @usairways @americanair offer ""non required $50 voucher goodwill offering..at least bag fly round trip",negative,negative
@united worst. nonrefundable first class tickets? oh select global/fc system auto selects economy w/upgrade.,negative,negative
@americanair maintenance #md80 sits two days? frozen lines found boarded? come on! #faail #mci,negative,negative
@americanair drop call. people answering phones? always high call volume call,negative,negative
@southwestair y'all real mvp prices...,positive,negative
"@jetblue tux, it'd date! #umosaicmecrazy http://t.co/hap4gbostu",positive,neutral
@americanair feb. 15th rep gave record locator told i'd receiving email itinerary confirmation.,negative,neutral
@americanair fantastic thanks! try tweet photo view :),positive,positive
@usairways fyi customer service rep carol absolute delight. pleasant rebooked lightning speed! thanks!,positive,positive
@jetblue always pleasure ☺️,positive,positive
@virginamerica told check airline regulation first contacted you.,neutral,negative
@southwestair hot stewardess flipped,positive,positive
@usairways we're 2 grandbabies 2 weeks -- travel dc births. thank reasonable fares! see saturday!,positive,positive
@united bag mia since wednesday. still word we'll ever see again. #lostluggage #frustrated,negative,negative
@jetblue afternoon flights going bqn jfk? seem find early morning flights.,neutral,negative
"@americanair thanks. actually made it, connection flight delayed. guess delays bad thing. http://t.co/xggcntco8m",positive,negative
@united stuck yyz staff took break? happy 1k....,negative,negative
@united appalled lack communication awful journey 2/21 ewr bos. 4 hr delays need explained better.,negative,negative
"@usairways flight got cancelled flightled charlotte. hold hour, pls pick up!",negative,negative
@americanair suprise! new vanity kit set frequent travellers 😀 thank aa! http://t.co/fa7nygn1ux,positive,neutral
@united please tell clt flight 4232 needs gate. waiting 15 mins.,negative,negative
@jetblue's ceo battles appease passengers wall street - waterbury republican american http://t.co/ffc13zygjs,neutral,neutral
"@jetblue big shoutout crews 2017 bos&gt;jfk &amp; 486 jfk&gt;roc, &amp; gate crews c19 bos &amp; 6 jfk. long day delays made better them!",positive,negative
"@usairways consolation bags somewhere else, real impediment going different vacation",negative,negative
"@usairways delayed flight 3 times cancelled flighting it, angry rude workers, providing helpful service",negative,negative
@united bummer. might go @americanair card instead. ty response though.,negative,negative
@americanair flight 236 great. fantastic cabin crew. a+ landing. #thankyou #jfk http://t.co/drw08djhai,positive,positive
@southwestair @flightspots time! #mobileboarding must!,neutral,negative
@usairways @thehaileytate another blatant lie @usairways,negative,negative
@united ok thanks! counters located? late flight open?,neutral,negative
@usairways - need wait hold 6+ hours website worked correctly - please respond!,negative,negative
"@americanair flying aa4285, 60+ min delay mechanical issues. perhaps consider maintenance?",negative,negative
"@united brian sfo customer service deserves raise, gave extra meal voucher good joke cheer flight delay. #ftw",positive,negative
@southwestair know one thing @delta would never treat customers like this!!!!,negative,negative
@southwestair pilots&amp; crew flt 3999 customer service professionals baggage claim outstanding!! thank you!!,positive,positive
@united - tag bags airport hoping would actually arrive - here's hoping arrive,negative,negative
@jetblue i'll read nice glass wine right dig heels next novel! maybe travel need...,neutral,neutral
@usairways @americanair joke company today reminded never book,negative,negative
@united locked account needed access book flight.,negative,negative
@americanair cancelled flight #1605 6/25 &amp; 6/28? flights 4 hrs longer &amp; layovers. late flight find reasonably priced alternative.,negative,negative
@jetblue entire system go down? it? really?,negative,negative
"@united oh, sure planned, occurs absolutely consistently, usually yyj flight that's cancelled flightled daily.",negative,negative
@southwestair never awful customer service conflicting service. outrageous.,negative,negative
@jetblue sil bought tix us nyc. told gate cc declined. supervisor accused us illegal activity.,negative,negative
"@jetblue im session presented one beloved travelers, @paulgordonbrown,i see love much http://t.co/vv8cfyhkvb",positive,neutral
@united i'm rebooked flight tomorrow even though 1st class seat orig lousy coach seat,negative,negative
"@united thinking could say many nice things getting upgraded, delayed flight... ok!",negative,negative
"@usairways flight #703 philly -&gt; mia? bwahahaha! delayed 5+ hrs, air 30 mins turned back around. #usairwaysfail",negative,negative
@united will. thanks.,positive,positive
@united well one missed mark. snit minute stepped counter,negative,negative
@united thanks ground crews surprised flights arrive. #beingsuckontarmacsucks!,negative,positive
"@united flying msp dxb, child turn 2 trip buy return ticket child?",neutral,negative
@southwestair thanks!!! :) good air side caution,neutral,positive
@jetblue airways hits new 12-month high $17.58 (jblu) - wkrb news http://t.co/xvbjczlmda,neutral,neutral
@jetblue bags still fly free started charging? thanks!,neutral,negative
@united dm sent. thanks much strong customer service!!,positive,positive
@united load balancing system apparently #systemwide - major impact #united airlines flights. #cyberattack?,negative,negative
"@usairways 3 us, costing $1000 get home today reason... send receipts reimbursed?",negative,negative
@united okay. thanks.,neutral,positive
"@united can't even fit name first two lines, yes... please pass feedback. big downgrade previous years.",negative,negative
@americanair need talk get full refund trip? call center offers assistance.,negative,negative
@usairways hotel voucher? everyone get one me...what do? arrived amsterdam #snowstorm,negative,negative
@americanair seems little preoccupied - that's i'm bringing attention. flagging issue observer.,negative,negative
@jetblue's new ceo robin hayes battles appease passengers wall street - business savannah http://t.co/kkay8xaps1,neutral,neutral
@usairways thank apology,neutral,negative
@southwestair 4-4 horrible customer service. empty seats early flight wantcharge double get home early instead usual late flight,negative,negative
@jetblue love guys sooooooo much. ridiculously appreciated! a+ service!,positive,positive
"@usairways yes, thanks took forever",negative,negative
"@jetblue seems never received id, password.",negative,negative
"@united cause miss flight telling already left not. empathy gate staff crew, apology. really?",negative,negative
@usairways hold u 40mins wasting time $ &amp; appreciate #wheresthecustomerserviceat http://t.co/phi2ifnjit,negative,negative
@usairways hell u left *alliance joined 1world beyond smart move time start looking carriers,negative,positive
".@americanair no. watched bags abandoned depart gate. watched &gt;40 mins owner returned, 20+ mins reported",negative,negative
"@americanair looking status flight 1388 schedule 5:15 tomorrow morning, thank",neutral,neutral
@usairways : make reservation; we'll make excuses! #usairwaysfail,negative,negative
@americanair got new reservation tomorrow. thanks!,positive,negative
@usairways take 6 days respond already open case!,negative,negative
@usairways guys awake? need help delayed flight get protected late flightr flight phl.,negative,negative
@jetblue can't. acces phone rn. iphone broke. :/ would rather change late flightr.,neutral,negative
@united want contact someone question &amp; put hold 5 minutes order hung sent pet line,negative,negative
@united changing #mileageplus program: winners losers http://t.co/38otlzak5d #airline #travel #loyalty #rewards,neutral,neutral
@americanair flight delayed &amp; can't talk reach anyone customer service high call volume.,negative,negative
@jetblue what's current checked bag price policy? fly coming week find anything definitive.,neutral,negative
@virginamerica logan airport waiting checkin 9am flight. checkin desk open !!!!! why?!,negative,negative
😩😩😩 “@jetblue: fleet's fleek. http://t.co/46am1bsi2g”,neutral,neutral
"@usairways help! flight cancelled flighted, can't call phone work europe. please help? says i'm booked want confirm.",negative,negative
@united plus food? taxis?,negative,negative
"@southwestair: tried vip live vineyard yr site went down, time got 2 redeem pts packages gone.",negative,negative
"@southwestair secondly, begin boarding time despite aircraft present deplaned. thus left 30 min late flight",negative,negative
@united calling number useless. heading airport pick bags. whole situation seems like real joke.,negative,negative
"@americanair want change flight due weather conditions dallas weekend, able cover change fee miles",neutral,negative
"@southwestair hi, add flight account? created",neutral,neutral
@usairways checking plane everyone board plane? #pissed,negative,negative
@jetblue @kylejudah new stroller. travel credit help cover cost new stroller. crew ruined therefore,negative,negative
"@americanair every time try call, tells try late flightr hangs up.",negative,negative
@virginamerica partners @visa checkout mobile payment method help boost mobile conversion rates #etailwest #payments #visa,neutral,neutral
@united made feel guilty economy plus pay extra leg room,negative,negative
"@southwestair know hard predict, flights dallas nashville tomorrow am?",neutral,negative
@americanair airline trouble winter &amp; getting good customer service? contact http://t.co/aqjn4hwnac negotiate w/companies foru!,negative,negative
"@united daughter, booked gold member miles, get upgrade list flight tomorrow?",negative,negative
"@united ua flight 1247. sfo lax took carry gate. i'm group 2, overhead bins empty",neutral,negative
@southwestair today sporadically changed flight departure 5 times &amp; left two hours late flight. uncharacteristic u http://t.co/txhyj40llg,negative,negative
"@united considering i'm stuck newark virtually sleep 30+ hours, doubt :/ hope car rentals available",negative,negative
@americanair @dfwairport 2 together best part flying!,positive,negative
@usairways hold hour now.,negative,negative
@americanair tried calling. got high call volume moment message said goodbye hung up…,negative,negative
@united guys big hearts.. keep good work,positive,positive
@americanair @dfwairport trying get canx flight resched since noon. got 2 call backs call disconnects soon answer,negative,negative
@americanair since leaving tomorrow miami one thing right deliver bags airport?,negative,negative
"@jetblue, hold music sucks.",negative,negative
@jetblue found camera! thank you! rock!,positive,positive
@usairways crazy! treated mom poorly. happy! #usairwaysfail,negative,negative
"@united wanted to, cancelled flightled tickets.... special guess even united.",negative,negative
@united - group 2 line gets longer every week. almost one left groups 3-5 anymore. time make explorer card group 3?,neutral,negative
@southwestair letting dm !!,negative,negative
@united trying reach number. last standbye gave 1 meal voucher potential 2 day standbye!,negative,negative
"@united thanks reply. clarify, airfare similar likely intended peer group. $3 beer charge, however,",negative,positive
@united u cld explain disorganized inefficient company w surly obviously unhappy employees stays business.,negative,negative
"@americanair that's i'm asking exception. staffer moving last minute,we're nonprofit &amp; losing $400,we want change ticket.",negative,negative
"@usairways flight 500 seattle 10,000lbs much fuel water lavoratories. nice job guys - est 40min behind",negative,negative
@americanair show plane?,neutral,negative
@united fee...,neutral,negative
"thanks @southwestair , get go #destinationdragons @imaginedragons show weekend utah @velourlive !!! #thankyou",positive,neutral
@united thanks causing us miss connection 6hour delay #flydeltanexttime,negative,negative
@usairways @americanair flight sf nyc made philly. ur customer service telling refund last leg? #offensive,negative,negative
@americanair anything do?,neutral,negative
"@usairways ridiculous. 6:00 flight two hours rest, wasted!!!",negative,negative
@americanair changed flight tonight. aa behalf instead flight tomorrow? poor effort around.,negative,negative
@united personal device entertainment system great app crashing every 10/15 mins i'm glad free now.,negative,negative
@southwestair male flight attendant flight 3913 orlando indy amazing! needs raise 👍 best experience,positive,positive
@united ever print known #traveler number ticket? never get use #tsa prescreen paid,negative,negative
@usairways 2 hours 7 minutes. want know i'm still queue...,negative,negative
@jetblue thanks customers like stay loyal. check landing.,positive,negative
@southwestair thanks. 25+ minutes someone eventually help us took care it.,negative,negative
"@usairways stranded #miami without updating departure boards, cancelled flightled flight no...",negative,negative
“@united: @rikrik__ made come this? help anything? ^jp” service great.,negative,negative
@americanair company policy refuses employees speak employees phone? interesting,negative,negative
@southwestair one looks like problem fixed. https://t.co/cfi1e3kxa9,negative,positive
@usairways thanks cancelled flighting flight 5097 today. missing required training. happy customer.,negative,negative
@virginamerica wow blew mind,positive,positive
@virginamerica plans short haul airline europe? would defiantly fly guys :),positive,negative
@usairways know luggage is? seriously?,negative,negative
"@united change name united incompetence. flight monday, take 7 hour drive get flight!",negative,negative
@jetblue effort fix points system? 11 days call customer service still account update. chasing points fun,negative,negative
@united trying change flight booked 6 hours ago online system charging $200 fee per passenger... could please help?,negative,negative
@united thanks updating 1+ hour delay exact second got atl. 🙅🙅🙅,positive,negative
"@united, no, service pretty much ruined day, thanks weak attempt",negative,negative
@southwestair thanks taking notch!! leinenkugels #craftbeer #goodflight @ norfolk… http://t.co/tgsljjn6g0,positive,positive
"end: rt @usairways: reminder: 2/28, we’ll tweeting @americanair. join us: http://t.co/nbpcjcpew9",neutral,neutral
@jetblue awww thank b6! glad hear it! made day! &amp; one last question idea tail operating flt 606 2maro? :),positive,neutral
@united waited 40 min bags 45 min flight #nomorecheckedbags,negative,negative
@virginamerica application ios? looking saw virgin mexico :( &lt;/3,neutral,neutral
@southwestair tv stream means get spend flight watching 1999 2011 women's world cup finals. #throwback #bestflightever,positive,negative
@usairways amazing!!! best!!! follow please follow back;)🙏🙏🙏✌️😉),positive,positive
@jetblue thank you. fingers crossed.,positive,positive
@jetblue's new ceo seeks right balance please passengers wall ... - times colonist http://t.co/nzdxrvszwv,neutral,neutral
"@americanair yep,filed claim heathrow yesterday. promised call morning update, got nothing.",negative,negative
oh yeah? rt @jetblue: fleet's fleek. http://t.co/ftv2nwwqf1”,neutral,neutral
"@usairways customer service dead. last wk, flts delayed/cancelled flighted. bags lost 4 days. last nt, flt delayed/cancelled flighted. meal voucher?",negative,negative
@southwestair everyones flights cancelled flightled today deserve 1,negative,negative
"@americanair made flight still update emails landed, info ever sent second flight. losing biz.",negative,negative
“@jetblue: fleet's fleek. http://t.co/tejrn09tfw” noooooooooooooooooo,neutral,neutral
"@americanair late flight phoenix, gave ticks away arrived chicago, held bags hostage chicago, rented van drove toledo. 5 hr drive.",negative,negative
@united q: purchased ticket #hawaii trip late flight-march. mean acquire miles based price distance flown?,neutral,neutral
"@americanair love holy, automated phone system going give like 8 options, give numerical shortcuts",negative,negative
@jetblue flew flight 3 months ago. girlfriend got away sex restroom. allowed now?,neutral,negative
"@americanair @boeingairplanes really would love experience first class plane,looks stunning!",positive,negative
"@southwestair horrible experience, passenger size 1/3 seat, offered $50 voucher christine c http://t.co/1xzrk66wvq",negative,negative
@jetblue want room food allowances. agents refusing give us vouchers use rooms book ourselves.,negative,negative
@usairways updates flight 5202 orf phl one gate... ;(,negative,negative
@virginamerica wjere luggage #so slow lax,negative,negative
@jetblue definitely will!,positive,positive
"@usairways dca-&gt;hpn, u r prof hostage takers.we stood bus 2 plane 25 min,now sitting plane mvmt &amp; 1 announcement 4 &gt; hour!",negative,negative
@jetblue ever looking interns ?,neutral,negative
"@americanair @derekc21 , surprise ba registered system , getting hopeful :(, lets step , okay ?",negative,negative
@united flight 433 lets go look like clowns one giving 1st class $500,negative,negative
"@usairways grt flight phx last week, tonight terrible. 2.5 hours taxing give us water crackers compensate.",negative,negative
"@usairways eh, happens. think i'll survive. 😉 thanks!",neutral,neutral
@virginamerica miss me? worry we'll together soon.,neutral,negative
@southwestair thanks ton!,positive,positive
@jetblue what's going flight 669 many free trips get epic inconvenience @anku http://t.co/peuc0bmij9,negative,negative
@jetblue phew!! it!! (pant. wheeze) http://t.co/zpz78poeon,neutral,neutral
@usairways new marketing song? https://t.co/f2lfulcbq7 let us know think? http://t.co/wbhbljjks7,neutral,neutral
@usairways saddens first tweet - ever - complaint customer service.,negative,negative
"@usairways @nburnside26 u hate delays, too? u $$ &amp; holding hostage! #goingforgreatnessfail",negative,negative
@united thanks letting switch flights bc checked bag cancelled flighting flight forcing take another 3 hrs late flightr!,negative,negative
"@united yes please! newly married trying update last name preexisting international flight! seems easy, but...",negative,negative
@americanair 3 months straight travel ahead. time find new airline.,negative,negative
@usairways commitment excellence 2b praised. get wrong city 2 days late flight right one 3 days late flight. #customerservice,negative,negative
"@united #ua3785 tonight told delayed due late flight crew. idea crew coming from, staff ++unhelpful. ideas?",negative,negative
@united missing wedding delays would cool,negative,negative
@usairways @cltdouglas slowest baggage claim ever,negative,negative
@southwestair flight 3113 oma&gt;den 2/21 actually cancelled flightled? hold hour website says conflicting messages,negative,negative
@united come $27 shuttle bus lga ewr electrical power outlets new airbus interiors not? #whyjeff?,negative,neutral
"@usairways flt 419. 2+ hrs late flight, baggage + 1 hr. see delivered suitcase wet inside &amp; out. #nothappy",negative,negative
@jetblue news flight 122 pbi-boston delay? wait arrive airport based reported 1 1/2 hour delay?,negative,negative
@united know would awesome? providing us complimentary entertainment flights. especially longer 6 hours.,neutral,negative
@jetblue i'm flight booze served 30 min in... gives? #lostrevenue #angryandsober #bachelorpartymishap,negative,negative
@jetblue no. boarding order. someone boarded with. service animal member party allergic flight,negative,negative
@jetblue bet:),positive,neutral
@usairways really appreciate easy way get another flight mine delayed 2hrs mechanical reasons,negative,negative
@united 20 minutes plus get two first one transferred spanish hotline unacceptable!,negative,negative
@usairways give free baggage mess,negative,negative
@united time arrive airport 6:15 domestic flight san diego?,neutral,negative
@americanair @dotnetnate two hour wait exps sit jfk phx flight us computers down. shot lax flight?,negative,negative
@southwestair received awesome phone help jim today. helped switch around flights booked points.,positive,negative
@jetblue let's say #idontwannalivewithoutyourlove https://t.co/i9kcgaxxfa #itwasminttobe #bestinclasssocial #thankyou #travel #business,neutral,neutral
"@united told go, knowing issue was, go find won’t fix it?",negative,negative
@jetblue ccndjp/ send screen shot systems error email address provided,negative,negative
@united waiting plane long missed connecting flight left early. that's last flight tonight. help http://t.co/hbsj2sf17h,negative,negative
"@americanair flight 1388 tomorrow 5:15 am, status please, thanks",neutral,negative
@united 3 hour delay plus jetway move. biz traveler never flying u again!,negative,negative
@jetblue - resolution?,negative,negative
@jetblue directed mobile website. direct link? get together!,negative,negative
@united de-ice taxing? maybe #makestoomuchsense ? #shouldhaveflowndelta #unitedsucks @delta @southwestair @americanair,neutral,negative
@usairways according @wtop dca seems recovering nicely yesterday's snow cancelled flightling flights there?,negative,negative
@southwestair dm @southwestverity needed,neutral,neutral
@united yet still left yet can't watch pre-paid directtv. #firstworldproblems,negative,negative
@united early frontrunner best airline! #oscars2016,positive,positive
@united #bullying #workforce ok. get gate agents 2 work team. 2 1 never cool. #delays #flights #unitedairlines,negative,negative
@southwestair @poisonpill76 im boat.. 8am flight jacksonville... get here!!,negative,negative
@sb5551 sounds like @usairways planned better since weather surprise. completely unacceptable wait times!!!,negative,negative
"@southwestair thanks attention, i've flying southwest 3 years issue past.",positive,negative
"@jetblue offered flight (4/19), paid, changed it.this 2nd time done me. ruins cruise plans",negative,negative
"@united 2 hour flight fll ewr, 1242, waiting 1 hour plus bags, sign yet. gives????",negative,negative
@americanair lax &amp; got phone w/reservations. every flight that'd get bos 11 tmrw apparently unavailable 😐,neutral,negative
@usairways who's charge company? wife missed connection ca sent luggage another flight,negative,negative
